year,year,GDP growth (annual %),Inflation_GDP deflator (annual %),Agriculture_value added (% of GDP),Industry_value added (% of GDP),Services_value added (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Revenue_excluding grants (% of GDP),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),Net migration,GDP per capita (current US$),Inflation_consumer prices (annual %)
1960,1960,0,0,0,0,0,4.969630039,4.196576477,22.52898951,0,0,8.352659672,0,0,6.806975888,0,0,3007.123445,1.509929427
1961,1961,2.3,1.350153896,0,0,0,4.899698207,4.02982425,22.47470265,0,0,8.487129416,0,0,6.566518729,0,0,3066.562869,1.075181891
1962,1962,6.1,1.244634712,0,0,0,4.809122459,4.131548504,23.07056685,0,0,8.656585688,0,0,6.530507354,0,1829274,3243.843078,1.116071429
1963,1963,4.4,1.088386011,0,0,0,4.870028187,4.087065456,23.14437833,0,0,8.189007203,0,0,6.581146257,0,0,3374.515171,1.214128036
1964,1964,5.8,1.503939679,0,0,0,5.103528726,4.097404491,23.11169437,0,0,7.467629046,0,0,6.850933217,0,0,3573.941185,1.308615049
1965,1965,6.4,1.919825811,0,0,0,4.98857066,4.235578862,23.86715073,0,0,6.968804626,0,0,6.825789969,0,0,3827.52711,1.66846071
1966,1966,6.5,2.898778535,0,0,0,5.018404908,4.552147239,24.26993865,0,0,7.800245399,0,0,7.144208589,0,0,4146.316646,2.991000529
1967,1967,2.5,3.151279366,0,0,0,5.048160613,4.630381803,23.24474875,0,0,8.755715446,0,0,7.016223744,0,1549465,4336.426587,2.775636083
1968,1968,4.8,4.367188241,0,0,0,5.082228117,4.944297082,22.93899204,0,0,8.565729443,0,0,7.438175066,0,0,4695.92339,4.217721097
1969,1969,3.1,4.95848845,0,0,0,5.08873419,4.95146583,23.76703598,0,0,7.985390725,0,0,7.503706246,0,0,5032.144743,5.414700472
1970,1970,3.206807257,2.211441675,0,0,0,5.549854817,5.182714865,21.36306516,0,0,7.42143205,0,0,7.959036476,0,0,5246.883717,5.895295903
1971,1971,3.295476728,5.077700631,0,0,0,5.391815169,5.338551256,21.86502479,0,0,6.410680185,0,0,7.920909083,0,0,5623.443978,4.255928924
1972,1972,5.263262776,4.329220317,0,0,0,5.524118308,5.78705274,22.52185467,16.67824607,0,6.053963939,0,0,8.471681915,0,2940497,6109.925868,3.305614735
1973,1973,5.643124848,5.442039936,0,0,0,6.669004703,6.381230185,23.2799715,17.07606809,0,5.485146117,0,0,10.12236892,0,0,6741.332364,6.220063864
1974,1974,-0.517154562,8.983063068,0,0,0,8.177231127,8.229787097,22.64228689,17.92455571,0,5.546527206,0,0,13.57880974,0,0,7242.441105,11.03526022
1975,1975,-0.197678537,9.261424055,0,0,0,8.212748598,7.266701916,20.2288559,17.26721704,41.67152677,5.234104811,0,0,12.71437478,0,0,7820.065471,9.131930735
1976,1976,5.386090051,5.488939826,0,0,0,7.963146315,8.050013129,21.9891009,16.56647601,47.0337726,4.847338632,0,0,13.27725426,0,0,8611.401839,5.737027083
1977,1977,4.608597407,6.202967939,0,0,0,7.639201496,8.746274481,23.47950168,17.80051401,39.99317338,4.838320747,0,0,13.59538167,0,3926811,9471.306172,6.486460064
1978,1978,5.561684929,7.021273092,0,0,0,7.930378503,9.006772976,24.77937223,17.6769552,36.57691621,4.635845896,0,0,14.08368345,0,0,10587.28576,7.647463851
1979,1979,3.17569075,8.255897781,0,0,0,8.743028019,9.599592423,25.06537829,18.56358108,37.74836322,4.645606261,0,0,15.52313077,0,0,11695.55442,11.26604409
1980,1980,-0.244596225,9.018535344,0,0,0,9.808646622,10.26475063,23.26808861,19.07001036,47.5037703,4.827624755,0,0,16.85761248,96.7032967,0,12597.66751,13.50937033
1981,1981,2.594470388,9.336242988,0,0,0,9.506171994,9.896087022,24.24743285,19.92521853,39.35154203,5.290885331,0,0,15.94749352,94.50549451,0,13993.16674,10.31553398
1982,1982,-1.910891068,6.203739761,0,0,0,8.466659552,9.063791203,22.06232543,19.71933557,43.55363587,6.386444687,0,0,14.09050129,95.40229885,3402260,14438.97628,6.160616062
1983,1983,4.632457181,3.948367013,0,0,0,7.613677,9.033139764,22.22793699,17.95754256,49.72419675,5.871851445,0,0,13.07034342,92.04545455,0,15561.4264,3.212435233
1984,1984,7.259086959,3.548237335,0,0,0,7.483444053,10.02568124,25.07658464,17.77714862,39.65061686,5.728200583,0.038253436,0,14.11490554,91.86046512,0,17134.28602,4.317269076
1985,1985,4.238737521,3.199612387,0,0,0,6.975559121,9.59865499,24.14507076,18.20792347,52.93302742,5.93928683,0.140659444,0,13.14269518,91.76470588,0,18269.42217,3.561116458
1986,1986,3.511614499,2.017623956,0,0,0,6.993227898,9.866050275,23.68611953,17.93120276,55.29099126,6.124085134,0.279060364,0,13.27739477,102.2988506,0,19115.05291,1.858736059
1987,1987,3.461747692,2.551295486,0,0,0,7.472849772,10.44540726,23.54754829,18.68130311,51.98470007,5.916717879,0.498659917,0,13.93293153,103.125,3428740,20100.85889,3.740875912
1988,1988,4.203971979,3.500903602,0,0,0,8.464351851,10.5469661,22.75733542,18.32548996,52.92474873,5.579929593,0.829863407,0,14.88719268,103.960396,0,21483.23306,4.009088244
1989,1989,3.680524033,3.888019538,0,0,0,8.913368046,10.44651946,22.44965748,18.49782235,59.78114401,5.374717221,1.39281703,32.16238957,15.14281528,102.9411765,0,22922.43709,4.82700303
