name,time,Adolescent fertility rate ,Agriculture_value added (% of GDP),Births attended by skilled health staff,CO2 emissions (metric tons per capita),Contraceptive prevalence_ any methods,DJIA,Electric power consumption (kWh per capita),Energy use ,Exports of goods and services (% of GDP),Fertility rate_total ,Forest area,GDP growth (annual %),GDP per capita (current US$),GNI per capita_Atlas method,GNI per capita_PPP,Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),Immunization_measles ,Imports of goods and services (% of GDP),Improved sanitation facilities,Improved water source ,Industry_value added (% of GDP),Inflation_GDP deflator (annual %),Inflation_consumer prices (annual %),Life expectancy at birth_total,Market capitalization of listed domestic companies (% of GDP),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Mortality rate_under-5 ,NASDAQ,Net barter terms of trade index (2000 = 100),Net migration,Number,Population,Population growth,Prevalence of underweight_weight for age,Revenue_excluding grants (% of GDP),Rusell1000,Russell1000,SP500,School enrollment_primary and secondary,School enrollment_secondary ,Services_value added (% of GDP),Surface area,Water productivity_total,happiness,internet_usage,nkill,nkillus,normalized
socialweather,-725932800000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3257,,,,yes
socialweather,-694396800000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3256,,,,yes
socialweather,-662774400000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6589,,,,yes
socialweather,-536544000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.32539999999999,,,,yes
socialweather,-410313600000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6584,,,,yes
socialweather,-378777600000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.241875,,,,yes
socialweather,-284083200000000000,84.9872,0,0,15.99977916,0,618.0221825396824,4049.786629,5641.740755,4.969630039,3.654,0,0,,0,0,22.52898951,,0,4.196576477,0,0,0,0,,69.77073171,0,,8.352659672,,30.1,0,,,,180671000,1.701992777,0,0,,0,55.849999999999994,0,0,0,0,0,,,,,no
socialweather,-284083200000000000,100,0,0,71.07670102710044,0,3.5140794768853985,29.550613741852032,66.85791972153264,36.41537714008871,100,0,0,5.217244083567069,0,0,89.84074120709286,0,0,24.080872620521827,0,0,0,0,11.176904549332907,88.60735969143707,0,28.1790707727118,95.39665517357426,0,100,0,0,0,,55.91322085903592,100,0,0,0,0,2.289118149851508,0,0,0,0,0,,,,,yes
socialweather,-252547200000000000,82.7346,0,0,15.68125552,0,691.7371599999999,4182.175501,5612.079503,4.899698207,3.62,0,2.3,,0,0,22.47470265,,0,4.02982425,0,0,0,1.350153896,,70.27073171,0,,8.487129416,,29.5,0,,,,183691000,1.657730037,0,0,,0,66.2725,0,0,0,9629090,0,,,,,no
socialweather,-252547200000000000,97.3494832162961,0,0,69.66170590098373,0,3.933223476487288,30.51663313462125,66.50641657894343,35.90294582902682,99.06951286261632,0,31.684425506824955,5.320369209244986,0,0,89.62425694187357,0,0,23.12401191285139,0,0,0,14.461426268953915,7.958786122047185,89.2423491599418,0,27.183642051829835,96.93244907676046,0,98.00664451827242,0,0,0,,56.84783641435076,97.3993579409885,0,0,0,0,2.7163040749513705,0,0,0,97.94110975831791,0,,,,,yes
socialweather,-221011200000000000,80.482,0,0,16.0139375,0,639.1376984126981,4433.606021,5774.586315,4.809122459,3.461,0,6.1,,3280,0,23.07056685,,0,4.131548504,0,0,0,1.244634712,,70.1195122,0,,8.656585688,,28.9,0,,,,186538000,1.537997358,0,0,,0,62.38249999999999,0,0,0,9629090,0,,,,,no
socialweather,-221011200000000000,94.6989664325922,0,0,71.13959740142892,0,3.634142482825235,32.35127946542502,68.43221711865614,35.23924450774509,94.71811713191025,0,84.03260677897055,5.627943586704168,5.773631402922021,0,92.00043459347262,0,0,23.70772790526022,0,0,0,13.331215924861272,8.261461502180909,89.0503035673769,0,27.034564531732176,98.8678280077582,0,96.01328903654485,0,0,21.240806802170997,,57.728912734212145,90.36450558332777,0,0,0,0,2.556865048936646,0,0,0,97.94110975831791,0,,,,,yes
socialweather,-189475200000000000,77.9506,0,0,16.48276215,0,714.6924302788842,4690.486256,5986.783954,4.870028187,3.319,0,4.4,,3410,0,23.14437833,,0,4.087065456,0,0,0,1.088386011,,69.91707317,0,,8.189007203,,28.3,0,,,,189242000,1.439164762,0,0,,0,69.865,0,0,0,9629090,0,,,,,no
socialweather,-189475200000000000,91.720400248508,0,0,73.22228299033331,0,4.063747341895963,34.225691452477186,70.94688295132266,35.68553629158137,90.831964969896,0,60.613683578273836,5.854654666764791,6.002464354867101,0,92.2947788235966,0,0,23.452474457948732,0,0,0,11.65764443362193,8.98730293375561,88.79321026324827,0,27.24419612951777,93.52756212219188,0,94.01993355481727,0,0,0,,58.565734079103315,84.55763041114245,0,0,0,0,2.8635494993621413,0,0,0,97.94110975831791,0,77.25894,,,,yes
socialweather,-157852800000000000,75.4192,0,0,16.96811858,0,834.0851778656126,4970.446456,6136.93823,5.103528726,3.19,0,5.8,,3610,0,23.11169437,,0,4.097404491,0,0,0,1.503939679,,70.16585366,0,,7.467629046,,27.7,0,,,,191889000,1.389046055,0,0,,0,81.36833333333334,0,0,0,9629090,0,,,,,no
socialweather,-157852800000000000,88.74183406442381,0,0,75.37840861692544,0,4.742615537628633,36.26851407282212,72.7262987321268,37.396530897491715,87.3015873015873,0,79.89985562590641,6.20065116829879,6.354515050167224,0,92.16444225476471,0,0,23.511802099472398,0,0,0,16.10861757703858,9.686721268525623,89.10915624548717,0,28.361042430207178,85.2886219527788,0,92.0265780730897,0,0,0,,59.38491532907629,81.61292302593597,0,0,0,0,3.335035428048358,0,0,0,97.94110975831791,0,74.99249999999999,,,,yes
socialweather,-126316800000000000,72.8878,0,0,17.45172525,0,910.7026587301591,5234.685002,6307.890202,4.98857066,2.913,0,6.4,,3880,0,23.86715073,,0,4.235578862,0,0,0,1.919825811,,70.21463415,0,,6.968804626,,27.1,0,,,,194303000,1.250171646,0,0,,0,88.16999999999997,0,0,0,9629090,0,,,,,no
socialweather,-126316800000000000,85.76326788033963,0,0,77.52676118820567,0,5.178263196698662,38.196618420996806,74.75217934531952,36.554166114634036,79.7208538587849,0,88.16535793203467,6.640613042521792,6.82978348882239,0,95.17703894943168,0,0,24.30467682621879,0,0,0,20.563151724602477,12.350395830772966,89.17110644032415,0,28.256956066966655,79.59149276811708,0,90.03322259136213,0,0,0,,60.13198882262929,73.45340490831002,0,0,0,0,3.6138146333465953,0,0,0,97.94110975831791,0,70.99289999999999,,,,yes
socialweather,-94780800000000000,70.3564,0,0,18.12107301,0,872.7825000000003,5590.33374,6591.340558,5.018404908,2.721,0,6.5,,4190,0,24.26993865,,0,4.552147239,0,0,0,2.898778535,,70.21219512,0,,7.800245399,,26.4,0,,,,196560000,1.154893191,0,0,,0,85.25666666666666,0,0,0,9629090,0,,,,,no
socialweather,-94780800000000000,82.78470169625542,0,0,80.50024164346212,0,4.962648846083776,40.79172760752949,78.11123144811111,36.77277904639858,74.46633825944171,0,89.5429416497227,7.193700686251393,7.375462066537581,0,96.7832701239813,0,0,26.121215331832293,0,0,0,31.048662065949216,22.14019199960743,89.16800892359743,0,29.575124512979112,89.087470317043,0,87.70764119601327,0,0,0,,60.83047468631989,67.85535206768978,0,0,0,0,3.494406142569502,0,0,0,97.94110975831791,0,80.908575,,,,yes
socialweather,-63244800000000000,67.825,0,0,18.59831788,0,879.4809561752984,5888.340915,6809.820484,5.048160613,2.558,0,2.5,,4370,0,23.24474875,,0,4.630381803,0,0,0,3.151279366,,70.56097561,0,,8.755715446,,25.7,0,,,,198712000,1.088881207,0,0,,0,91.92833333333333,0,0,0,9629090,0,,,,,no
socialweather,-63244800000000000,79.80613551217125,0,0,82.62033283987756,0,5.000736325849794,42.96623597734452,80.70034604724063,36.990816447802864,70.00547345374932,0,34.43959294220104,7.5235341576902535,7.6923076923076925,0,92.69503436653007,0,0,26.57014235139964,0,0,0,33.75318498083632,20.546006328927103,89.61095279953726,0,29.04530127510817,100,0,85.38205980066445,0,0,17.991775268071315,,61.49646563831907,63.97684066082262,0,0,0,0,3.7678570513685354,0,0,0,97.94110975831791,0,,,,,yes
socialweather,-31622400000000000,66.466,0,0,19.08938916,0,903.9588495575224,6385.459329,7073.478949,5.082228117,2.464,0,4.8,,4740,0,22.93899204,,0,4.944297082,0,0,0,4.367188241,,69.95121951,0,,8.565729443,,24.9,0,,,,200706000,0.998461044,0,0,,0,98.69416666666666,0,0,0,9629090,0,,,,,no
socialweather,-31622400000000000,78.20707118248396,0,0,84.80184585968324,0,5.139917839397393,46.593625660268,83.82485269374861,37.24044891473618,67.43295019157088,0,66.124018449026,8.147247351650279,8.343601478612921,0,91.47574268710302,0,0,28.371456801086147,0,0,0,46.77671999982441,31.2207082489536,88.83657539582424,0,30.79206758674423,97.83014872774567,0,82.72425249169434,0,0,0,,62.11355948510643,58.66423509504707,0,0,0,0,4.045167559554814,0,0,0,97.94110975831791,0,,,,,yes
socialweather,-86400000000000,65.107,0,0,19.85794566,0,875.7206399999998,6904.8338,7332.368547,5.08873419,2.456,0,3.1,,5070,0,23.76703598,,0,4.95146583,0,0,0,4.95848845,,70.50731707,0,,7.985390725,,24.1,0,,,,202677000,0.977242812,2,0,,0,97.83999999999999,0,0,0,9629090,0,,,,,no
socialweather,-86400000000000,76.60800685279665,0,0,88.21604676999972,0,4.979355135543784,50.383414058006274,86.89284548382567,37.28812270536781,67.21401204159825,0,42.70509524832929,8.730578530696095,8.924485125858125,0,94.77780296320289,0,0,28.412592643214307,0,0,0,53.11010495734968,40.081072172369716,89.54280758394658,0,31.06334925270322,91.20203567885571,0,80.06644518272425,0,0,0,,62.72353539885661,57.41756517454364,100,0,0,0,4.010157919095283,0,0,0,97.94110975831791,0,,,,,yes
socialweather,31449600000000000,63.748,0,0,21.11125227,67.6,753.1180708661418,7236.657043,7569.076595,5.549854817,2.48,0,3.206807257,,5360,0,21.36306516,,0,5.182714865,0,0,0,2.211441675,,70.80731707,0,,7.42143205,,23.3,0,,,,205052000,1.165002667,0,0,,0,83.22,0,0,0,9629090,0,,,,,no
socialweather,31449600000000000,75.00894252310937,0,0,93.78367981814606,85.56962025316454,4.282235866723607,52.80467260388748,89.69797396417974,40.66702242375773,67.87082649151614,0,44.17645463007051,9.103142431747642,9.434958634043303,0,85.19128687853085,0,0,29.739550125336606,0,0,0,23.686633668836553,43.63856907459579,89.92380126504942,0,32.948295370808985,84.76100092300783,0,77.40863787375415,0,0,0,100,63.45853935378136,68.44933085165496,0,0,0,0,3.410929497415264,0,0,0,97.94110975831791,0,66.66,,1.098169717138103,0.9284731774415406,yes
socialweather,62985600000000000,62.389,0,0,20.98020348,0,884.8719367588934,7517.304646,7644.524802,5.391815169,2.266,0,3.295476728,,5700,0,21.86502479,,0,5.338551256,0,0,0,5.077700631,,71.10731707,0,,6.410680185,,22.4,0,,,,207661000,1.264333692,0,0,,0,98.28333333333335,0,83.84320068,0,9629090,0,,,,,no
socialweather,62985600000000000,73.40987819342206,0,0,93.2015145536354,0,5.031389488089458,54.85251108862202,90.59207923873865,39.508973768255615,62.01423097974822,0,45.397950825126635,9.756460072257315,10.033444816053512,0,87.19299339959878,0,0,30.633773381335867,0,0,0,54.38698026097262,31.503532881535868,90.30479494615224,0,32.79045809866291,73.2170914477204,0,74.41860465116278,0,0,0,52.77777777777778,64.26596054047555,74.28549104823846,0,0,0,0,4.02832877638745,0,85.93600921539301,0,97.94110975831791,0,72.9927,,0.6655574043261231,0.515818431911967,yes
socialweather,94608000000000000,61.03,0,0,21.74864198,0,950.116972111554,8076.409269,7940.997832,5.524118308,2.01,0,5.263262776,,6290,0,22.52185467,,0,5.78705274,0,0,0,4.329220317,,71.15609756,0,,6.053963939,,21.5,0,,,,209896000,1.070522752,0,16.67824607,,0,109.20833333333333,0,84.84906006,0,9629090,0,,,,,no
socialweather,94608000000000000,71.81081386373478,0,0,96.61519126604657,0,5.402373323587507,58.932203741377045,94.10545762674285,40.478436015081535,55.008210180623976,0,72.50585102131163,10.600487531983042,11.071994367188875,0,89.81228900715244,0,0,33.20737287738027,0,0,0,46.37004759370986,24.469051141926908,90.36674514098925,0,35.07051121887089,69.14299552489133,0,71.42857142857143,0,0,34.143889149117854,13.675213675213676,64.95763794647841,62.89819595397731,0,81.32372877631384,0,0,4.476110616801552,0,86.96697583222077,0,97.94110975831791,0,71.14103333333333,,0.33277870216306155,0.17193947730398898,yes
socialweather,126144000000000000,59.3726,0,0,22.51058213,69.6,924.0697222222215,8573.194154,8163.603792,6.669004703,1.879,0,5.643124848,,7310,0,23.2799715,,0,6.381230185,0,0,0,5.442039936,,71.35609756,0,,5.485146117,,20.6,0,,,,211909000,0.954476729,0,17.07606809,,0,107.42333333333333,0,0,0,9629090,0,,,,,no
socialweather,126144000000000000,69.86063783722724,0,0,100,88.1012658227848,5.2542684353628335,62.55715971913194,96.74346813618087,48.86768622672724,51.42309797482212,0,77.73876907485604,11.695953636329088,12.867452913219504,0,92.83549508119938,0,0,36.6168928624088,0,0,0,58.289399097631964,46.04258904789384,90.62074092839113,0,41.903916640431376,62.64646391067744,0,68.43853820598007,0,0,0,12.393162393162394,65.58061182490518,56.07995180111156,0,83.26352327988093,0,0,4.402949007177829,0,0,0,97.94110975831791,0,74.32589999999999,,1.497504159733777,1.2723521320495186,yes
socialweather,157680000000000000,57.7152,0,0,21.50293038,0,759.1293675889325,8449.928456,7909.58648,8.177231127,1.835,0,-0.517154562,,8000,0,22.64228689,,0,8.229787097,0,0,0,8.983063068,,71.95609756,0,,5.546527206,,19.7,0,,,,213854000,0.913660196,0,17.92455571,,0,82.5525,0,85.16272736,0,9629090,0,,,,,no
socialweather,157680000000000000,67.91046181071974,0,0,95.52365307933509,0,4.316416151897547,61.65771059676738,93.73321477802644,59.91934069830618,50.21893814997264,0,-7.124237041392909,12.565358122717237,14.08202781200493,0,90.29254667273541,0,0,47.22431626422882,0,0,0,96.217108740058,81.68597018540686,91.38272829059682,0,56.212662857701666,63.347504155515935,0,65.4485049833887,0,0,0,20.085470085470085,66.18254137956987,53.68179044863244,0,87.40077948711831,0,0,3.383570744236644,0,87.28847257572234,0,97.94110975831791,0,72.04834999999999,,0.5324459234608985,0.3782668500687758,yes
socialweather,189216000000000000,56.0578,0,0,20.40222407,79,802.8885770750989,8522.394003,7656.263579,8.212748598,1.774,0,-0.197678537,,8530,0,20.2288559,,0,7.266701916,0,0,0,9.261424055,,72.60487805,41.67152677,,5.234104811,,18.8,0,,,,215973000,0.985986067,0,17.26721704,,0,86.15583333333332,0,85.18713379,0,9629090,0,,,,,no
socialweather,189216000000000000,65.96028578421222,0,0,90.63392475670285,100,4.565231395629017,62.18647953823573,90.73119059538854,60.17959791893972,48.549534756431314,0,-2.7231873390759307,13.567514289950234,15.014962154550254,0,80.6683054746326,0,0,41.69792309744626,0,0,0,99.198618404682,67.5970123842182,92.20666584763947,27.242498328405123,52.634131904009195,59.77929323172753,0,62.45847176079734,0,0,0,31.837606837606835,66.83831964503747,57.931272113735886,0,84.19557244742731,0,0,3.531260193355682,0,87.31348821415675,0,97.94110975831791,0,73.8815,,0.7986688851913478,0.24071526822558462,yes
socialweather,220838400000000000,54.4004,0,0,21.15761537,67.7,975.2007114624503,8968.775655,8100.562222,7.963146315,1.738,0,5.386090051,,8980,0,21.9891009,,0,8.050013129,0,0,0,5.488939826,,72.85609756,47.0337726,,4.847338632,,17.9,0,,,,218035000,0.950220049,0,16.56647601,,0,102.02166666666666,0,85.36267853,0,9629090,0,,,,,no
socialweather,220838400000000000,64.01010975770468,0,0,93.98964117326449,85.69620253164557,5.544999682554594,65.44365157916347,95.9963887489467,58.350616445642544,47.56431308155447,0,74.19789956259154,14.940452601120713,15.807076218975533,0,87.68778211098527,0,0,46.19273396193546,0,0,0,58.791741314520294,42.467020615016324,92.5257093339053,30.748032787618612,54.96430332879553,55.36199368167543,0,59.46843853820597,0,0,0,22.435897435897438,67.47645781558688,55.829852032327395,0,80.77873393653256,0,0,4.181551456486432,0,87.49341472306865,0,97.94110975831791,0,73.49265,,0.13311148086522462,0.0343878954607978,yes
socialweather,252374400000000000,52.743,0,0,21.53248401,0,894.3286111111116,9337.724018,8285.570898,7.639201496,1.79,0,4.608597407,,9610,0,23.47950168,,0,8.746274481,0,0,0,6.202967939,,73.25609756,39.99317338,,4.838320747,,17.1,0,,,,220239000,1.005771996,0,17.80051401,,0,98.21,0,85.40564728,0,9629090,0,,,,,no
socialweather,252374400000000000,62.05993373119717,0,0,95.65494079916982,0,5.08516022027282,68.13580589851185,98.18884950617536,55.976883861146874,48.98741105637657,0,63.48728749262528,16.432353707221775,16.91603590917092,0,93.6311783166338,0,0,50.188033706857595,0,0,0,66.43965829694834,48.01452551489867,93.0337009087091,26.14528536392924,56.28126624281629,55.25899941403829,0,56.81063122923589,0,0,45.59657754914786,27.77777777777778,68.15854148575706,59.093787564293535,0,86.79594768853383,0,0,4.025323070669947,0,87.53745601521908,0,97.94110975831791,0,77.3256,,0.13311148086522462,0.0343878954607978,yes
socialweather,283910400000000000,52.5098,0,0,21.97300469,0,821.1337301587301,9560.54541,8438.403077,7.930378503,1.76,0,5.561684929,,10790,0,24.77937223,,0,9.006772976,0,0,0,7.021273092,,73.35609756,36.57691621,,4.635845896,,16.3,0,,,,222585000,1.05957308,0,17.6769552,,0,96.01999999999998,0,85.09819794,0,9629090,0,,,,,no
socialweather,283910400000000000,61.78553946947305,0,0,97.61189010175102,0,4.668973493914792,69.76169622104462,100,58.110507579857504,48.1663929939792,0,76.61686601101371,18.36853557982016,18.993135011441648,0,98.81478114238128,0,0,51.68283098037637,0,0,0,75.20448108542737,56.608588440405875,93.16069880241002,23.911928742349254,58.30270581355407,52.94651161965137,0,54.15282392026578,0,0,0,18.58974358974359,68.88457065554799,62.254851743122295,0,86.19347047898847,0,0,3.9355617681063872,0,87.22233243809866,0,97.94110975831791,0,75.6591,,0.26622296173044924,0.1375515818431912,yes
socialweather,315446400000000000,52.2766,0,0,21.78043698,0,844.3960474308296,9700.695386,8327.041705,8.743028019,1.808,0,3.17569075,,12230,0,25.06537829,,0,9.599592423,0,0,0,8.255897781,,73.80487805,37.74836322,,4.645606261,,15.6,0,,,,225055000,1.103576565,0,18.56358108,,0,103.0225,0,78.57421875,0,9629090,0,,,,,no
socialweather,315446400000000000,61.51114520774893,0,0,96.75643594739857,0,4.801243231183379,70.78434708789499,98.68030276601114,64.06526444819882,49.480021893815,0,43.74779869612525,20.2913392874637,21.527900017602537,0,99.95531149811318,0,0,55.08455847620897,0,0,0,88.4284801885664,83.39429458811793,93.73064057205082,24.67775485157439,64.26163509011835,53.05798583395398,0,51.82724252491694,0,0,0,14.743589743589745,69.64897476866973,64.84026136381189,0,90.51669021615719,0,0,4.222572508380966,0,80.53550832778522,0,97.94110975831791,0,,,0.5990016638935108,0.34387895460797796,yes
socialweather,347068800000000000,52.0434,0,0,20.78648774,0,891.124189723321,9862.365497,7942.253018,9.808646622,1.8395,0,-0.244596225,,13410,0,23.26808861,,86,10.26475063,0,0,0,9.018535344,,73.6097561,47.5037703,,4.827624755,,15,0,,,,227225000,0.959589923,0,19.07001036,,0,118.78333333333335,0,90.8430481,0,9629090,0,,,,,no
socialweather,347068800000000000,61.23675094602481,0,0,92.34096044232331,0,5.0669398525380345,71.96402677016582,94.12033231320363,71.87367332596469,50.34209085933223,0,-3.3695177696796073,21.856470971477723,23.604999119873263,0,92.78810868400618,0,87.75510204081633,58.90138158024356,0,0,0,96.59705039373596,100,93.48283980540259,31.05529082563756,69.78603464282901,55.136839299699645,0,49.83388704318937,0,91.98606273931334,0,14.316239316239315,70.32053627695888,56.38037575526093,0,92.98605763274574,0,0,4.868560147416204,0,93.11057969353264,0,97.94110975831791,0,74.6592,,0.49916805324459235,0.3782668500687758,yes
