year,Population,Population growth,Surface area,GNI per capita_Atlas method,GNI per capita_PPP,Life expectancy at birth_total,Fertility rate_total ,Adolescent fertility rate ,Contraceptive prevalence_ any methods,Births attended by skilled health staff,Mortality rate_under-5 ,Prevalence of underweight_weight for age,Immunization_measles ,School enrollment_secondary ,School enrollment_primary and secondary,Forest area,Water productivity_total,Improved water source ,Improved sanitation facilities,Energy use ,CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP growth (annual %),Inflation_GDP deflator (annual %),Agriculture_value added (% of GDP),Industry_value added (% of GDP),Services_value added (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Revenue_excluding grants (% of GDP),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),Net migration,GDP per capita (current US$),Inflation_consumer prices (annual %)
1960,180671000,1.701992777,0,0,0,69.77073171,3.654,84.9872,0,0,30.1,0,0,0,0,0,0,0,0,5641.740755,15.99977916,4049.786629,0,0,0,0,0,4.969630039,4.196576477,22.52898951,0,0,8.352659672,0,0,6.806975888,0,0,3007.123445,1.509929427
1961,183691000,1.657730037,9629090,0,0,70.27073171,3.62,82.7346,0,0,29.5,0,0,0,0,0,0,0,0,5612.079503,15.68125552,4182.175501,2.3,1.350153896,0,0,0,4.899698207,4.02982425,22.47470265,0,0,8.487129416,0,0,6.566518729,0,0,3066.562869,1.075181891
1962,186538000,1.537997358,9629090,3280,0,70.1195122,3.461,80.482,0,0,28.9,0,0,0,0,0,0,0,0,5774.586315,16.0139375,4433.606021,6.1,1.244634712,0,0,0,4.809122459,4.131548504,23.07056685,0,0,8.656585688,0,0,6.530507354,0,1829274,3243.843078,1.116071429
1963,189242000,1.439164762,9629090,3410,0,69.91707317,3.319,77.9506,0,0,28.3,0,0,0,0,0,0,0,0,5986.783954,16.48276215,4690.486256,4.4,1.088386011,0,0,0,4.870028187,4.087065456,23.14437833,0,0,8.189007203,0,0,6.581146257,0,0,3374.515171,1.214128036
1964,191889000,1.389046055,9629090,3610,0,70.16585366,3.19,75.4192,0,0,27.7,0,0,0,0,0,0,0,0,6136.93823,16.96811858,4970.446456,5.8,1.503939679,0,0,0,5.103528726,4.097404491,23.11169437,0,0,7.467629046,0,0,6.850933217,0,0,3573.941185,1.308615049
1965,194303000,1.250171646,9629090,3880,0,70.21463415,2.913,72.8878,0,0,27.1,0,0,0,0,0,0,0,0,6307.890202,17.45172525,5234.685002,6.4,1.919825811,0,0,0,4.98857066,4.235578862,23.86715073,0,0,6.968804626,0,0,6.825789969,0,0,3827.52711,1.66846071
1966,196560000,1.154893191,9629090,4190,0,70.21219512,2.721,70.3564,0,0,26.4,0,0,0,0,0,0,0,0,6591.340558,18.12107301,5590.33374,6.5,2.898778535,0,0,0,5.018404908,4.552147239,24.26993865,0,0,7.800245399,0,0,7.144208589,0,0,4146.316646,2.991000529
1967,198712000,1.088881207,9629090,4370,0,70.56097561,2.558,67.825,0,0,25.7,0,0,0,0,0,0,0,0,6809.820484,18.59831788,5888.340915,2.5,3.151279366,0,0,0,5.048160613,4.630381803,23.24474875,0,0,8.755715446,0,0,7.016223744,0,1549465,4336.426587,2.775636083
1968,200706000,0.998461044,9629090,4740,0,69.95121951,2.464,66.466,0,0,24.9,0,0,0,0,0,0,0,0,7073.478949,19.08938916,6385.459329,4.8,4.367188241,0,0,0,5.082228117,4.944297082,22.93899204,0,0,8.565729443,0,0,7.438175066,0,0,4695.92339,4.217721097
1969,202677000,0.977242812,9629090,5070,0,70.50731707,2.456,65.107,0,0,24.1,2,0,0,0,0,0,0,0,7332.368547,19.85794566,6904.8338,3.1,4.95848845,0,0,0,5.08873419,4.95146583,23.76703598,0,0,7.985390725,0,0,7.503706246,0,0,5032.144743,5.414700472
1970,205052000,1.165002667,9629090,5360,0,70.80731707,2.48,63.748,67.6,0,23.3,0,0,0,0,0,0,0,0,7569.076595,21.11125227,7236.657043,3.206807257,2.211441675,0,0,0,5.549854817,5.182714865,21.36306516,0,0,7.42143205,0,0,7.959036476,0,0,5246.883717,5.895295903
1971,207661000,1.264333692,9629090,5700,0,71.10731707,2.266,62.389,0,0,22.4,0,0,83.84320068,0,0,0,0,0,7644.524802,20.98020348,7517.304646,3.295476728,5.077700631,0,0,0,5.391815169,5.338551256,21.86502479,0,0,6.410680185,0,0,7.920909083,0,0,5623.443978,4.255928924
1972,209896000,1.070522752,9629090,6290,0,71.15609756,2.01,61.03,0,0,21.5,0,0,84.84906006,0,0,0,0,0,7940.997832,21.74864198,8076.409269,5.263262776,4.329220317,0,0,0,5.524118308,5.78705274,22.52185467,16.67824607,0,6.053963939,0,0,8.471681915,0,2940497,6109.925868,3.305614735
1973,211909000,0.954476729,9629090,7310,0,71.35609756,1.879,59.3726,69.6,0,20.6,0,0,0,0,0,0,0,0,8163.603792,22.51058213,8573.194154,5.643124848,5.442039936,0,0,0,6.669004703,6.381230185,23.2799715,17.07606809,0,5.485146117,0,0,10.12236892,0,0,6741.332364,6.220063864
1974,213854000,0.913660196,9629090,8000,0,71.95609756,1.835,57.7152,0,0,19.7,0,0,85.16272736,0,0,0,0,0,7909.58648,21.50293038,8449.928456,-0.517154562,8.983063068,0,0,0,8.177231127,8.229787097,22.64228689,17.92455571,0,5.546527206,0,0,13.57880974,0,0,7242.441105,11.03526022
1975,215973000,0.985986067,9629090,8530,0,72.60487805,1.774,56.0578,79,0,18.8,0,0,85.18713379,0,0,0,0,0,7656.263579,20.40222407,8522.394003,-0.197678537,9.261424055,0,0,0,8.212748598,7.266701916,20.2288559,17.26721704,41.67152677,5.234104811,0,0,12.71437478,0,0,7820.065471,9.131930735
1976,218035000,0.950220049,9629090,8980,0,72.85609756,1.738,54.4004,67.7,0,17.9,0,0,85.36267853,0,0,0,0,0,8100.562222,21.15761537,8968.775655,5.386090051,5.488939826,0,0,0,7.963146315,8.050013129,21.9891009,16.56647601,47.0337726,4.847338632,0,0,13.27725426,0,0,8611.401839,5.737027083
1977,220239000,1.005771996,9629090,9610,0,73.25609756,1.79,52.743,0,0,17.1,0,0,85.40564728,0,0,0,0,0,8285.570898,21.53248401,9337.724018,4.608597407,6.202967939,0,0,0,7.639201496,8.746274481,23.47950168,17.80051401,39.99317338,4.838320747,0,0,13.59538167,0,3926811,9471.306172,6.486460064
1978,222585000,1.05957308,9629090,10790,0,73.35609756,1.76,52.5098,0,0,16.3,0,0,85.09819794,0,0,0,0,0,8438.403077,21.97300469,9560.54541,5.561684929,7.021273092,0,0,0,7.930378503,9.006772976,24.77937223,17.6769552,36.57691621,4.635845896,0,0,14.08368345,0,0,10587.28576,7.647463851
1979,225055000,1.103576565,9629090,12230,0,73.80487805,1.808,52.2766,0,0,15.6,0,0,78.57421875,0,0,0,0,0,8327.041705,21.78043698,9700.695386,3.17569075,8.255897781,0,0,0,8.743028019,9.599592423,25.06537829,18.56358108,37.74836322,4.645606261,0,0,15.52313077,0,0,11695.55442,11.26604409
1980,227225000,0.959589923,9629090,13410,0,73.6097561,1.8395,52.0434,0,0,15,0,86,90.8430481,0,0,0,0,0,7942.253018,20.78648774,9862.365497,-0.244596225,9.018535344,0,0,0,9.808646622,10.26475063,23.26808861,19.07001036,47.5037703,4.827624755,0,0,16.85761248,96.7032967,0,12597.66751,13.50937033
1981,229466000,0.981415437,9629090,14400,0,74.0097561,1.812,51.8102,0,0,14.4,0,97,89.5338974,1.031999946,0,0,0,0,7647.538054,19.76676417,9976.693715,2.594470388,9.336242988,0,0,0,9.506171994,9.896087022,24.24743285,19.92521853,39.35154203,5.290885331,0,0,15.94749352,94.50549451,0,13993.16674,10.31553398
1982,231664000,0.953317566,9629090,14230,0,74.36097561,1.8275,51.577,69.5,0,13.9,0,97,92.75406647,1.02737999,0,12.69184654,0,0,7259.078899,18.59049523,9544.460943,-1.910891068,6.203739761,0,0,0,8.466659552,9.063791203,22.06232543,19.71933557,43.55363587,6.386444687,0,0,14.09050129,95.40229885,3402260,14438.97628,6.160616062
1983,233792000,0.914378513,9629090,14590,0,74.46341463,1.799,51.9174,0,0,13.4,0,98,92.92421722,1.017549992,0,0,0,0,7199.118533,18.57154371,9742.005714,4.632457181,3.948367013,0,0,0,7.613677,9.033139764,22.22793699,17.95754256,49.72419675,5.871851445,0,0,13.07034342,92.04545455,0,15561.4264,3.212435233
1984,235825000,0.865817336,9629090,16230,0,74.56341463,1.8065,52.2578,0,0,13,0,98,94.91506195,1.020959973,0,0,0,0,7443.320017,18.97675027,10282.37464,7.259086959,3.548237335,0,0,0,7.483444053,10.02568124,25.07658464,17.77714862,39.65061686,5.728200583,0.038253436,0,14.11490554,91.86046512,0,17134.28602,4.317269076
